"","Coral Region","Year","Number of Samples","Minimum Value (Percent Cover)","Maximum Value (Percent Cover)","Median (Percent Cover)","Mean (Percent Cover)","Standard Deviation (Percent Cover)","Programs with Data"
"1","SE FL",1997,332,0,0,0,0,0,"3024"
"2","SE FL",1998,233,0,0,0,0,0,"3024"
"3","SE FL",1999,16,0,0,0,0,0,"3024"
"4","SE FL",2000,191,0,15,0,0.465968586387435,2.12940416154814,"3024"
"5","SE FL",2001,253,0,0,0,0,0,"3024"
"6","SE FL",2002,58,0,0,0,0,0,"3024"
"7","SE FL",2014,202,1,24,1,2.51980198019802,3.3236831395809,"3022"
"8","SE FL",2016,172,1,14,1,2.15697674418605,2.51400943475805,"3022"
"9","SE FL",2018,98,1,17,1,1.71428571428571,2.12980808389554,"3022"
